"Edible","CapShape","CapSurface","CapColor","Bruises","Odor","GillAttachment","GillSpacing","GillSize","GillColor","StalkShape","StalkRoot","StalkSurfaceAboveRing","StalkSurfaceBelowRing","StalkColorAboveRing","StalkColorBelowRing","VeilType","VeilColor","RingNumber","RingType","SporePrintColor","Population","Habitat"
"Poisonous","Convex","Smooth","Brown","True","Pungent","Free","Close","Narrow","Black","Enlarging","Equal","Smooth","Smooth","White","White","Partial","White","One","Pendant","Black","Scattered","Urban"
"Edible","Convex","Smooth","Yellow","True","Almond","Free","Close","Broad","Black","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Numerous","Grasses"
"Edible","Bell","Smooth","White","True","Anise","Free","Close","Broad","Brown","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Numerous","Meadows"
"Poisonous","Convex","Scaly","White","True","Pungent","Free","Close","Narrow","Brown","Enlarging","Equal","Smooth","Smooth","White","White","Partial","White","One","Pendant","Black","Scattered","Urban"
"Edible","Convex","Smooth","Gray","False","None","Free","Crowded","Broad","Black","Tapering","Equal","Smooth","Smooth","White","White","Partial","White","One","Evanescent","Brown","Abundnant","Grasses"
"Edible","Convex","Scaly","Yellow","True","Almond","Free","Close","Broad","Brown","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Black","Numerous","Grasses"
"Edible","Bell","Smooth","White","True","Almond","Free","Close","Broad","Gray","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Black","Numerous","Meadows"
"Edible","Bell","Scaly","White","True","Anise","Free","Close","Broad","Brown","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Scattered","Meadows"
"Poisonous","Convex","Scaly","White","True","Pungent","Free","Close","Narrow","Pink","Enlarging","Equal","Smooth","Smooth","White","White","Partial","White","One","Pendant","Black","Several","Grasses"
"Edible","Bell","Smooth","Yellow","True","Almond","Free","Close","Broad","Gray","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Black","Scattered","Meadows"
"Edible","Convex","Scaly","Yellow","True","Anise","Free","Close","Broad","Gray","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Numerous","Grasses"
"Edible","Convex","Scaly","Yellow","True","Almond","Free","Close","Broad","Brown","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Black","Scattered","Meadows"
"Edible","Bell","Smooth","Yellow","True","Almond","Free","Close","Broad","White","Enlarging","Club","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Scattered","Grasses"
"Poisonous","Convex","Scaly","White","True","Pungent","Free","Close","Narrow","Black","Enlarging","Equal","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Several","Urban"
"Edible","Convex","Fibrous","Brown","False","None","Free","Crowded","Broad","Brown","Tapering","Equal","Smooth","Fibrous","White","White","Partial","White","One","Evanescent","Black","Abundnant","Grasses"
"Edible","Sunken","Fibrous","Gray","False","None","Free","Close","Narrow","Black","Enlarging","Equal","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Solitary","Urban"
"Edible","Flat","Fibrous","White","False","None","Free","Crowded","Broad","Black","Tapering","Equal","Smooth","Smooth","White","White","Partial","White","One","Evanescent","Brown","Abundnant","Grasses"
"Poisonous","Convex","Smooth","Brown","True","Pungent","Free","Close","Narrow","Brown","Enlarging","Equal","Smooth","Smooth","White","White","Partial","White","One","Pendant","Black","Scattered","Grasses"
"Poisonous","Convex","Scaly","White","True","Pungent","Free","Close","Narrow","Brown","Enlarging","Equal","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Scattered","Urban"
"Poisonous","Convex","Smooth","Brown","True","Pungent","Free","Close","Narrow","Black","Enlarging","Equal","Smooth","Smooth","White","White","Partial","White","One","Pendant","Brown","Scattered","Urban"
